Type;Name;Schema;ParentName;ParentType;ParentSchema;Title;Description;CustomField1;CustomField2;CustomField3
COLUMN;LoginID;;Employee;TABLE;HumanResources;;Network login.;;;
COLUMN;LoginID;;Employee;TABLE;HumanResources;;Network login. Test2;;;
COLUMN;machine;;kibana_sample_data_logs;SEARCH_INDEX;;;Machine details;;;
COLUMN;MakeFlag;;Product;TABLE;Production;;0 = Product is purchased, 1 = Product is manufactured in-house.;;;
COLUMN;manager_id;;projects;TABLE;;;ID of project manager ;;;
COLUMN;manufacturer;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;Manufacter of purchased product;;;
COLUMN;manufacturer;;products;COLUMN;;;Manufacturer of product;;;
COLUMN;MaritalStatus;;Employee;TABLE;HumanResources;;M = Married, S = Single;;;
COLUMN;MaxOrderQty;;ProductVendor;TABLE;Purchasing;;The minimum quantity that should be ordered.;;;
COLUMN;MaxQty;;SpecialOffer;TABLE;Sales;;Maximum discount percent allowed.;;;
COLUMN;memory;;kibana_sample_data_logs;SEARCH_INDEX;;;Available memory;;;
COLUMN;message;;kibana_sample_data_logs;SEARCH_INDEX;;;Message sent to client;;;
COLUMN;metro;;bds2018_metro.csv;STRUCTURE;;;Metro/Non-Metro;;;
COLUMN;Middle Name;;Customer;TABLE;;;Middle name or middle initial of the person.;;;
COLUMN;MiddleName;;Person;TABLE;Person;;Middle name or middle initial of the person.;;;
COLUMN;min_price;;products;COLUMN;;;Minimal possible price of product;;;
COLUMN;MinOrderQty;;ProductVendor;TABLE;Purchasing;;The maximum quantity that should be ordered.;;;
COLUMN;MinQty;;SpecialOffer;TABLE;Sales;;Minimum discount percent allowed.;;;
COLUMN;Model;;Items;TABLE;dbo;;Model name;;;
COLUMN;ModifiedDate;;Address;TABLE;Person;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;AddressType;TABLE;Person;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;AWBuildVersion;TABLE;dbo;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;BillOfMaterials;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;BusinessEntity;TABLE;Person;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;BusinessEntityAddress;TABLE;Person;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;BusinessEntityContact;TABLE;Person;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ContactType;TABLE;Person;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;CountryRegion;TABLE;Person;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;CountryRegionCurrency;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;CreditCard;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;Culture;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;Currency;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;CurrencyRate;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;Customer;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;Department;TABLE;HumanResources;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;Document;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;EmailAddress;TABLE;Person;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;Employee;TABLE;HumanResources;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;EmployeeDepartmentHistory;TABLE;HumanResources;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;EmployeePayHistory;TABLE;HumanResources;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;Illustration;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;JobCandidate;TABLE;HumanResources;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;Location;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;Password;TABLE;Person;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;Person;TABLE;Person;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;PersonCreditCard;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;PersonPhone;TABLE;Person;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;PhoneNumberType;TABLE;Person;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;Product;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ProductCategory;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ProductCostHistory;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ProductDescription;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ProductDocument;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ProductInventory;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ProductListPriceHistory;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ProductModel;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ProductModelIllustration;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ProductModelProductDescriptionCulture;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ProductPhoto;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ProductProductPhoto;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ProductReview;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ProductSubcategory;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ProductVendor;TABLE;Purchasing;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;PurchaseOrderDetail;TABLE;Purchasing;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;PurchaseOrderHeader;TABLE;Purchasing;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;SalesOrderDetail;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;SalesOrderHeader;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;SalesOrderHeaderSalesReason;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;SalesPerson;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;SalesPersonQuotaHistory;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;SalesReason;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;SalesTaxRate;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;SalesTerritory;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;SalesTerritoryHistory;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ScrapReason;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;Shift;TABLE;HumanResources;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ShipMethod;TABLE;Purchasing;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;ShoppingCartItem;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;SpecialOffer;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;SpecialOfferProduct;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;StateProvince;TABLE;Person;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;Store;TABLE;Sales;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;TransactionHistory;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;TransactionHistoryArchive;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;UnitMeasure;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;Vendor;TABLE;Purchasing;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;WorkOrder;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;ModifiedDate;;WorkOrderRouting;TABLE;Production;;Date and time the record was last updated.;;;
COLUMN;N;;company_tickers.json;STRUCTURE;;;Document that holds information about specific company;;;
COLUMN;Name;;AddressType;TABLE;Person;;Address type description. For example, Billing, Home, or Shipping.;;;
COLUMN;Name;;Clients;TABLE;dbo;;First name;;;
COLUMN;Name;;ContactType;TABLE;Person;;Contact type description.;;;
COLUMN;Name;;CountryRegion;TABLE;Person;;Country or region name.;;;
COLUMN;Name;;Culture;TABLE;Production;;Culture description.;;;
COLUMN;Name;;Currency;TABLE;Sales;;Currency name.;;;
COLUMN;Name;;Department;TABLE;HumanResources;;Name of the department.;;;
COLUMN;Name;;Location;TABLE;Production;;Location description.;;;
COLUMN;name;;Person;GRAPH_NODE;;;First and last name of a person.;;;
COLUMN;Name;;PhoneNumberType;TABLE;Person;;Name of the telephone number type;;;
COLUMN;Name;;Product;TABLE;Production;;Name of the product.;;;
COLUMN;Name;;ProductCategory;TABLE;Production;;Category description.;;;
COLUMN;Name;;ProductModel;TABLE;Production;;Product model description.;;;
COLUMN;Name;;ProductSubcategory;TABLE;Production;;Subcategory description.;;;
COLUMN;name;;programs;TABLE;;;Program name;;;
COLUMN;name;;projects;TABLE;;;Project name;;;
COLUMN;Name;;SalesReason;TABLE;Sales;;Sales reason description.;;;
COLUMN;Name;;SalesTaxRate;TABLE;Sales;;Tax rate description.;;;
COLUMN;Name;;SalesTerritory;TABLE;Sales;;Sales territory description;;;
COLUMN;Name;;ScrapReason;TABLE;Production;;Failure description.;;;
COLUMN;Name;;Shift;TABLE;HumanResources;;Shift description.;;;
COLUMN;Name;;ShipMethod;TABLE;Purchasing;;Shipping company name.;;;
COLUMN;Name;;StateProvince;TABLE;Person;;State or province description.;;;
COLUMN;Name;;Store;TABLE;Sales;;Name of the store.;;;
COLUMN;Name;;UnitMeasure;TABLE;Production;;Unit of measure description.;;;
COLUMN;name;;users.avro.[example.avro.User];STRUCTURE;;;User's name.;;;
COLUMN;name;;users.orc;STRUCTURE;;;User's name.;;;
COLUMN;name;;users.parquet;STRUCTURE;;;User's name.;;;
COLUMN;Name;;Vendor;TABLE;Purchasing;;Company name.;;;
COLUMN;Name Style;;Customer;TABLE;;;0 = The data in FirstName and LastName are stored in western style (first name, last name) order.  1 = Eastern style (last name, first name) order.;;;
COLUMN;NameStyle;;Person;TABLE;Person;;0 = The data in FirstName and LastName are stored in western style (first name, last name) order.  1 = Eastern style (last name, first name) order.;;;
COLUMN;NationalIDNumber;;Employee;TABLE;HumanResources;;Unique national identification number such as a social security number.;;;
COLUMN;net_job_creation;;bds2018.csv;STRUCTURE;;;Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation;;bds2018_cty.csv;STRUCTURE;;;Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation;;bds2018_eage.csv;STRUCTURE;;;Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation;;bds2018_esize.csv;STRUCTURE;;;Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation;;bds2018_fage.csv;STRUCTURE;;;Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation;;bds2018_fsize.csv;STRUCTURE;;;Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation;;bds2018_iesize.csv;STRUCTURE;;;Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation;;bds2018_ifsize.csv;STRUCTURE;;;Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation;;bds2018_metro.csv;STRUCTURE;;;Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation;;bds2018_sector.csv;STRUCTURE;;;Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation;;bds2018_st.csv;STRUCTURE;;;Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation_rate;;bds2018.csv;STRUCTURE;;;Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation_rate;;bds2018_cty.csv;STRUCTURE;;;Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation_rate;;bds2018_eage.csv;STRUCTURE;;;Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation_rate;;bds2018_esize.csv;STRUCTURE;;;Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation_rate;;bds2018_fage.csv;STRUCTURE;;;Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation_rate;;bds2018_fsize.csv;STRUCTURE;;;Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation_rate;;bds2018_iesize.csv;STRUCTURE;;;Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation_rate;;bds2018_ifsize.csv;STRUCTURE;;;Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation_rate;;bds2018_metro.csv;STRUCTURE;;;Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation_rate;;bds2018_sector.csv;STRUCTURE;;;Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;net_job_creation_rate;;bds2018_st.csv;STRUCTURE;;;Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months;;;
COLUMN;Object;;DatabaseLog;TABLE;dbo;;The object that was changed by the DDL statement.;;;
COLUMN;Object;;DatabaseLog;TABLE;dbo;;The object that was changed by the DDL statment.;;;
COLUMN;OnlineOrderFlag;;SalesOrderHeader;TABLE;Sales;;0 = Order placed by sales person. 1 = Order placed online by customer.;;;
COLUMN;OnOrderQty;;ProductVendor;TABLE;Purchasing;;The quantity currently on order.;;;
COLUMN;OperationSequence;;WorkOrderRouting;TABLE;Production;;Primary key. Indicates the manufacturing process sequence.;;;
COLUMN;Order Quantity;;Internet Sales;TABLE;;;Number of products in order;;;
COLUMN;order_date;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;Order date;;;
COLUMN;order_id;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;ID of order's document;;;
COLUMN;OrderDate;;PurchaseOrderHeader;TABLE;Purchasing;;Purchase order creation date.;;;
COLUMN;OrderDate;;SalesOrderHeader;TABLE;Sales;;Dates the sales order was created.;;;
COLUMN;OrderID;;Orders;TABLE;dbo;;Row ID;;;
COLUMN;OrderQty;;PurchaseOrderDetail;TABLE;Purchasing;;Quantity ordered.;;;
COLUMN;OrderQty;;SalesOrderDetail;TABLE;Sales;;Quantity ordered per product.;;;
COLUMN;OrderQty;;WorkOrder;TABLE;Production;;Product quantity to build.;;;
COLUMN;OrderTrackingID;;OrderTracking;TABLE;Sales;;Primary key.;;;
COLUMN;OrganizationLevel;;Employee;TABLE;HumanResources;;The depth of the employee in the corporate hierarchy.;;;
COLUMN;OrganizationNode;;Employee;TABLE;HumanResources;;Where the employee is located in corporate hierarchy.;;;
COLUMN;Origin;;kibana_sample_data_flights;SEARCH_INDEX;;;Origin airport name;;;
COLUMN;OriginAirportID;;kibana_sample_data_flights;SEARCH_INDEX;;;Origin airport ID;;;
COLUMN;OriginCityName;;kibana_sample_data_flights;SEARCH_INDEX;;;Origin city name;;;
COLUMN;OriginCountry;;kibana_sample_data_flights;SEARCH_INDEX;;;Two letter code of origin country;;;
COLUMN;OriginLocation;;kibana_sample_data_flights;SEARCH_INDEX;;;Origin location coordinates;;;
COLUMN;OriginRegion;;kibana_sample_data_flights;SEARCH_INDEX;;;Origin region code;;;
COLUMN;OriginWeather;;kibana_sample_data_flights;SEARCH_INDEX;;;Weather at origin aiport;;;
COLUMN;os;;machine;COLUMN;;;Operating System on machine;;;
COLUMN;Owner;;Document;TABLE;Production;;Employee who controls the document.  Foreign key to Employee.BusinessEntityID;;;
COLUMN;participants;;projects;TABLE;;;Project participants;;;
COLUMN;PasswordHash;;Password;TABLE;Person;;Password for the e-mail account.;;;
COLUMN;PasswordSalt;;Password;TABLE;Person;;Random value concatenated with the password string before the password is hashed.;;;
COLUMN;PayFrequency;;EmployeePayHistory;TABLE;HumanResources;;1 = Salary received monthly, 2 = Salary received biweekly;;;
COLUMN;PerAssemblyQty;;BillOfMaterials;TABLE;Production;;Quantity of the component needed to create the assembly.;;;
COLUMN;person_id;;participants;COLUMN;;;Participant person ID;;;
COLUMN;PersonID;;BusinessEntityContact;TABLE;Person;;Primary key. Foreign key to Person.BusinessEntityID.;;;
COLUMN;PersonID;;Customer;TABLE;Sales;;Foreign key to Person.BusinessEntityID;;;
COLUMN;PersonType;;Person;TABLE;Person;;Primary type of person: SC = Store Contact, IN = Individual (retail) customer, SP = Sales person, EM = Employee (non-sales), VC = Vendor contact, GC = General contact;;;
COLUMN;PhoneNumber;;Clients;TABLE;dbo;;Phone number with area code;;;
COLUMN;PhoneNumber;;PersonPhone;TABLE;Person;;Telephone number identification number.;;;
COLUMN;PhoneNumberTypeID;;PersonPhone;TABLE;Person;;Kind of phone number. Foreign key to PhoneNumberType.PhoneNumberTypeID.;;;
COLUMN;PhoneNumberTypeID;;PhoneNumberType;TABLE;Person;;Primary key for telephone number type records.;;;
COLUMN;phpmemory;;kibana_sample_data_logs;SEARCH_INDEX;;;-;;;
COLUMN;PlannedCost;;WorkOrderRouting;TABLE;Production;;Estimated manufacturing cost.;;;
COLUMN;Policy;;insurance_data.xlsx.tblPolicies;STRUCTURE;;;Policy ID number;;;
COLUMN;pop;;zips.json;STRUCTURE;;Population;holds the population;;;
COLUMN;PostalCode;;Address;TABLE;Person;;Postal code for the street address.;;;
COLUMN;PostTime;;DatabaseLog;TABLE;dbo;;The date and time the DDL change occurred.;;;
COLUMN;PreferredVendorStatus;;Vendor;TABLE;Purchasing;;0 = Do not use if another vendor is available. 1 = Preferred over other vendors supplying the same product.;;;
COLUMN;Price;;Items;TABLE;dbo;;Retail price in dollars;;;
COLUMN;price;;products;COLUMN;;;Price of product after discount;;;
COLUMN;Primary;;ProductProductPhoto;TABLE;Production;;0 = Photo is not the principal image. 1 = Photo is the principal image.;;;
COLUMN;Product Alternate Id;;Product;TABLE;;;Alternate ID for product;;;
COLUMN;Product Category Alternate Id;;Product Category;TABLE;;;Alternate ID for product category ;;;
COLUMN;Product Category Id;;Product Category;TABLE;;;Product category ID;;;
COLUMN;Product Category Id;;Product Subcategory;TABLE;;;Product category ID (references Product Category);;;
COLUMN;Product Category Name;;Product Category;TABLE;;;Product category name;;;
COLUMN;Product Standard Cost;;Internet Sales;TABLE;;;Standard cost of products in USD;;;
COLUMN;Product Subcategory Alternate Id;;Product Subcategory;TABLE;;;Alternate ID for product subcategory;;;
COLUMN;Product Subcategory Id;;Product Subcategory;TABLE;;;Product subcategory ID;;;
COLUMN;Product Subcategory Name;;Product Subcategory;TABLE;;;Name for product subcategory;;;
COLUMN;product_id;;products;COLUMN;;;Product id;;;
COLUMN;product_name;;products;COLUMN;;;Product name;;;
COLUMN;ProductAssemblyID;;BillOfMaterials;TABLE;Production;;Parent product identification number. Foreign key to Product.ProductID.;;;
COLUMN;ProductCategoryID;;ProductCategory;TABLE;Production;;Primary key for ProductCategory records.;;;
COLUMN;ProductCategoryID;;ProductSubcategory;TABLE;Production;;Product category identification number. Foreign key to ProductCategory.ProductCategoryID.;;;
COLUMN;ProductDescriptionID;;ProductDescription;TABLE;Production;;Primary key for ProductDescription records.;;;
COLUMN;ProductDescriptionID;;ProductModelProductDescriptionCulture;TABLE;Production;;Primary key. Foreign key to ProductDescription.ProductDescriptionID.;;;
COLUMN;ProductID;;Product;TABLE;Production;;Primary key for Product records.;;;
COLUMN;ProductID;;ProductCostHistory;TABLE;Production;;Product identification number. Foreign key to Product.ProductID;;;
COLUMN;ProductID;;ProductDocument;TABLE;Production;;Product identification number. Foreign key to Product.ProductID.;;;
COLUMN;ProductID;;ProductInventory;TABLE;Production;;Product identification number. Foreign key to Product.ProductID.;;;
COLUMN;ProductID;;ProductListPriceHistory;TABLE;Production;;Product identification number. Foreign key to Product.ProductID;;;
COLUMN;ProductID;;ProductProductPhoto;TABLE;Production;;Product identification number. Foreign key to Product.ProductID.;;;
COLUMN;ProductID;;ProductReview;TABLE;Production;;Product identification number. Foreign key to Product.ProductID.;;;
COLUMN;ProductID;;ProductVendor;TABLE;Purchasing;;Primary key. Foreign key to Product.ProductID.;;;
COLUMN;ProductID;;PurchaseOrderDetail;TABLE;Purchasing;;Product identification number. Foreign key to Product.ProductID.;;;
COLUMN;ProductID;;SalesOrderDetail;TABLE;Sales;;Product sold to customer. Foreign key to Product.ProductID.;;;
COLUMN;ProductID;;ShoppingCartItem;TABLE;Sales;;Product ordered. Foreign key to Product.ProductID.;;;
COLUMN;ProductID;;SpecialOfferProduct;TABLE;Sales;;Product identification number. Foreign key to Product.ProductID.;;;
COLUMN;ProductID;;TransactionHistory;TABLE;Production;;Product identification number. Foreign key to Product.ProductID.;;;
COLUMN;ProductID;;TransactionHistoryArchive;TABLE;Production;;Product identification number. Foreign key to Product.ProductID.;;;
COLUMN;ProductID;;WorkOrder;TABLE;Production;;Product identification number. Foreign key to Product.ProductID.;;;
COLUMN;ProductID;;WorkOrderRouting;TABLE;Production;;Primary key. Foreign key to Product.ProductID.;;;
COLUMN;ProductLine;;Product;TABLE;Production;;R = Road, M = Mountain, T = Touring, S = Standard;;;
COLUMN;ProductModelID;;Product;TABLE;Production;;Product is a member of this product model. Foreign key to ProductModel.ProductModelID.;;;
COLUMN;ProductModelID;;ProductModel;TABLE;Production;;Primary key for ProductModel records.;;;
COLUMN;ProductModelID;;ProductModelIllustration;TABLE;Production;;Primary key. Foreign key to ProductModel.ProductModelID.;;;
COLUMN;ProductModelID;;ProductModelProductDescriptionCulture;TABLE;Production;;Primary key. Foreign key to ProductModel.ProductModelID.;;;
COLUMN;ProductNumber;;Product;TABLE;Production;;Unique product identification number.;;;
COLUMN;ProductPhotoID;;ProductPhoto;TABLE;Production;;Primary key for ProductPhoto records.;;;
COLUMN;ProductPhotoID;;ProductProductPhoto;TABLE;Production;;Product photo identification number. Foreign key to ProductPhoto.ProductPhotoID.;;;
COLUMN;ProductReviewID;;ProductReview;TABLE;Production;;Primary key for ProductReview records.;;;
COLUMN;products;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;Purchased product details;;;
COLUMN;ProductSubcategoryID;;Product;TABLE;Production;;Product is a member of this product subcategory. Foreign key to ProductSubCategory.ProductSubCategoryID. ;;;
COLUMN;ProductSubcategoryID;;ProductSubcategory;TABLE;Production;;Primary key for ProductSubcategory records.;;;
COLUMN;projects;;programs;TABLE;;;List of IDs of program projects;;;
COLUMN;PurchaseOrderDetailID;;PurchaseOrderDetail;TABLE;Purchasing;;Primary key. One line number per purchased product.;;;
COLUMN;PurchaseOrderID;;PurchaseOrderDetail;TABLE;Purchasing;;Primary key. Foreign key to PurchaseOrderHeader.PurchaseOrderID.;;;
COLUMN;PurchaseOrderID;;PurchaseOrderHeader;TABLE;Purchasing;;Primary key.;;;
COLUMN;PurchaseOrderNumber;;SalesOrderHeader;TABLE;Sales;;Customer purchase order number reference. ;;;
COLUMN;PurchasingWebServiceURL;;Vendor;TABLE;Purchasing;;Vendor URL.;;;
COLUMN;Quantity;;ProductInventory;TABLE;Production;;Quantity of products in the inventory location.;;;
COLUMN;quantity;;products;COLUMN;;;Quantity of purchased product;;;
COLUMN;Quantity;;ShoppingCartItem;TABLE;Sales;;Product quantity ordered.;;;
COLUMN;Quantity;;TransactionHistory;TABLE;Production;;Product quantity.;;;
COLUMN;Quantity;;TransactionHistoryArchive;TABLE;Production;;Product quantity.;;;
COLUMN;QuotaDate;;SalesPersonQuotaHistory;TABLE;Sales;;Sales quota date.;;;
COLUMN;ram;;machine;COLUMN;;;RAM installed in machine;;;
COLUMN;RANK;;Fortune500.csv;STRUCTURE;;;Company Fortune 500 rank;;;
COLUMN;Rate;;EmployeePayHistory;TABLE;HumanResources;;Salary hourly rate.;;;
COLUMN;RateChangeDate;;EmployeePayHistory;TABLE;HumanResources;;Date the change in pay is effective;;;
COLUMN;Rating;;ProductReview;TABLE;Production;;Product rating given by the reviewer. Scale is 1 to 5 with 5 as the highest rating.;;;
COLUMN;rating;;REVIEWED;GRAPH_EDGE;;;Rating score.;;;
COLUMN;reallocation_rate;;bds2018.csv;STRUCTURE;;;Rate of reallocation during the last 12 months;;;
COLUMN;reallocation_rate;;bds2018_cty.csv;STRUCTURE;;;Rate of reallocation during the last 12 months;;;
COLUMN;reallocation_rate;;bds2018_eage.csv;STRUCTURE;;;Rate of reallocation during the last 12 months;;;
COLUMN;reallocation_rate;;bds2018_esize.csv;STRUCTURE;;;Rate of reallocation during the last 12 months;;;
COLUMN;reallocation_rate;;bds2018_fage.csv;STRUCTURE;;;Rate of reallocation during the last 12 months;;;
COLUMN;reallocation_rate;;bds2018_fsize.csv;STRUCTURE;;;Rate of reallocation during the last 12 months;;;
COLUMN;reallocation_rate;;bds2018_iesize.csv;STRUCTURE;;;Rate of reallocation during the last 12 months;;;
COLUMN;reallocation_rate;;bds2018_ifsize.csv;STRUCTURE;;;Rate of reallocation during the last 12 months;;;
COLUMN;reallocation_rate;;bds2018_metro.csv;STRUCTURE;;;Rate of reallocation during the last 12 months;;;
COLUMN;reallocation_rate;;bds2018_sector.csv;STRUCTURE;;;Rate of reallocation during the last 12 months;;;
COLUMN;reallocation_rate;;bds2018_st.csv;STRUCTURE;;;Rate of reallocation during the last 12 months;;;
COLUMN;ReasonType;;SalesReason;TABLE;Sales;;Category the sales reason belongs to.;;;
COLUMN;ReceivedQty;;PurchaseOrderDetail;TABLE;Purchasing;;Quantity actually received from the vendor.;;;
COLUMN;ReferenceOrderID;;TransactionHistory;TABLE;Production;;Purchase order, sales order, or work order identification number.;;;
COLUMN;ReferenceOrderID;;TransactionHistoryArchive;TABLE;Production;;Purchase order, sales order, or work order identification number.;;;
COLUMN;ReferenceOrderLineID;;TransactionHistory;TABLE;Production;;Line number associated with the purchase order, sales order, or work order.;;;
COLUMN;ReferenceOrderLineID;;TransactionHistoryArchive;TABLE;Production;;Line number associated with the purchase order, sales order, or work order.;;;
COLUMN;referer;;kibana_sample_data_logs;SEARCH_INDEX;;;Referer;;;
COLUMN;Region;;insurance_data.xlsx.tblPolicies;STRUCTURE;;;U.S. geographic region (Central, East, Northwest etc.);;;
COLUMN;region_name;;geoip;COLUMN;;;Region name in country;;;
COLUMN;RejectedQty;;PurchaseOrderDetail;TABLE;Purchasing;;Quantity rejected during inspection.;;;
COLUMN;released;;Movie;GRAPH_NODE;;;Year of a movie's release.;;;
COLUMN;ReorderPoint;;Product;TABLE;Production;;Inventory level that triggers a purchase order or work order. ;;;
COLUMN;request;;kibana_sample_data_logs;SEARCH_INDEX;;;Full request addres;;;
COLUMN;response;;kibana_sample_data_logs;SEARCH_INDEX;;;Reponse HTTP code;;;
COLUMN;Resume;;JobCandidate;TABLE;HumanResources;;Résumé in XML format.;;;
COLUMN;REVENUES($M);;Fortune500.csv;STRUCTURE;;;2016 annual revenues in millions USD;;;
COLUMN;ReviewDate;;ProductReview;TABLE;Production;;Date review was submitted.;;;
